수집일,주문일,판매사이트 주문번호,판매사이트명,판매자ID,판매가,배송비금액,마스터상품코드,판매사이트 상품코드,상품명,판매자상품코드,주문선택사항,주문수량,에누리,구매링크,구매가,구매자명,수령자명,수령자전화번호,수령자휴대폰번호,배송지우편번호,배송지주소,배송메세지,담당자,구매처,계정,구매금액,주문번호　앞부분,결제일시,카드정보,포인트,주문여부,한줄메모,주문고유번호,배송사명,송장번호
2026-09-06 13:21,2026-09-06 01:21,3111666136121 537454916495241,쿠팡(신),samplestore,15900,0,,8694655439,아기물티슈 캡형 100매,,10팩,1,0,,,조채원,조채원,0502-3924-8109,0502-3924-8109,07485,서울특별시 마포구 월드컵북로 247 107동 274호,경비실,,,,,,,,,,,130610396724,,
2026-09-06 05:53,2026-09-06 00:53,7167304462058 717732930920559,쿠팡(신),samplestore,20560,0,,8716606101,모던하우스 스테인리스 물병 2P 세트,,크림 2개 1.5L,1,0,,,송하준,송하준,0502-1350-1233,0502-1350-1233,43281,대구광역시 수성구 동대구로 232 114동 499호,경비실,,,,,,,,,,,374998139090,,
2026-09-06 10:06,2026-09-06 02:06,5562655381762 571765840737262,쿠팡(신),samplestore,20560,0,,8422653864,모던하우스 스테인리스 물병 2P 세트,,크림 2개 1.5L,2,0,,,정서연,안하준,0502-6796-8506,0502-6796-8506,49713,부산광역시 해운대구 센텀중앙로 87 109동 1146호,문 앞,명진,롯데온,롯데온(명진),15960,4335068562,2026-09-06 12:06,하나,102,O,,979506390357,T025,255359046175
2026-09-06 13:45,2026-09-06 09:45,2084721803231 868237905350885,쿠팡(신),samplestore,38600,0,,7533637500,[지지피엑스] NEW 아트웍 폰테 티셔츠,,사이즈:55,1,0,,,안채원,안채원,0502-2738-1930,0502-2738-1930,42601,대구광역시 수성구 동대구로 269 108동 1251호,문 앞,,,,,,,,,,,172638583022,,
2026-09-06 22:54,2026-09-06 05:54,8955469935028 700425725592975,쿠팡(신),samplestore,38600,0,,8981664002,[지지피엑스] NEW 아트웍 폰테 티셔츠,,사이즈:55,1,0,,,황하은,정현우,0502-9572-5253,0502-9572-5253,42992,부산광역시 해운대구 센텀중앙로 210 108동 748호,문 앞,,,,,,,,,,,364875595771,,
2026-09-06 02:15,2026-09-05 16:15,3155145594862 974751251940926,쿠팡(신),samplestore,38600,0,,8895869073,[지지피엑스] NEW 아트웍 폰테 티셔츠,,사이즈:55,1,0,,,정지민,윤지우,0502-3342-5146,0502-3342-5146,07525,서울특별시 마포구 월드컵북로 259 103동 1468호,경비실,명진,지마켓,지마켓(명진),29670,8328603841,2026-09-06 04:15,하나,306,O,,561017993421,T025,449423999861
2026-09-05 20:39,2026-09-05 09:39,9068328209593 891676033555617,쿠팡(신),samplestore,49800,0,,8339873192,수향미 골든퀸 3호 백미,,10kg 1개 특등급,1,0,,,김유진,김유진,0502-6431-9477,0502-6431-9477,42053,부산광역시 해운대구 센텀중앙로 67 115동 569호,문 앞,,,,,,,,,,,388123849219,,
2026-09-06 17:35,2026-09-06 11:35,8139346363220 704156511189598,쿠팡(신),samplestore,23330,0,,7599281731,오리온 촉촉한 황치즈칩 16P,,320g x 4개,1,0,,,안채원,강현우,0502-6358-2465,0502-6358-2465,02186,서울특별시 마포구 월드컵북로 147 101동 1400호,문 앞,,,,,,,,,,,386910810126,,
2026-09-06 22:13,2026-09-06 14:13,5651735723190 237000277430788,쿠팡(신),samplestore,49800,0,,8990007124,수향미 골든퀸 3호 백미,,10kg 1개 특등급,1,0,,,권민준,권민준,0502-6556-7844,0502-6556-7844,41707,대구광역시 수성구 동대구로 279 112동 589호,문 앞,명진,지마켓,지마켓(명진),42100,2124831725,2026-09-07 00:13,롯데,203,O,,443306386276,T081,935504651741
2026-09-06 17:12,2026-09-06 00:12,4129623084691 490688566998054,쿠팡(신),samplestore,20560,0,,7039586494,모던하우스 스테인리스 물병 2P 세트,,크림 2개 1.5L,1,0,,,김지호,김지호,0502-1605-1251,0502-1605-1251,45025,부산광역시 해운대구 센텀중앙로 238 102동 1449호,,,,,,,,,,,,643985565857,,
2026-09-06 12:17,2026-09-06 02:17,4786820016059 358471056455969,쿠팡(신),samplestore,15900,0,,7746362613,아기물티슈 캡형 100매,,10팩,1,0,,,한예준,김도윤,0502-3289-7630,0502-3289-7630,25187,인천광역시 연수구 송도과학로 230 103동 214호,문 앞,,,,,,,,,,,836612415868,,
2026-09-06 03:16,2026-09-05 17:16,9079027777338 277365765536517,쿠팡(신),samplestore,23330,0,,7781987587,오리온 촉촉한 황치즈칩 16P,,320g x 4개,1,0,,,장은우,송시우,0502-1059-5312,0502-1059-5312,45005,대구광역시 수성구 동대구로 27 115동 734호,경비실,명진,옥션,옥션(명진),18900,1785798161,2026-09-06 05:16,삼성,295,O,,620051350026,T081,819418893386
2026-09-06 03:13,2026-09-06 02:13,5647544819348 201055499718759,쿠팡(신),samplestore,20560,0,,7048305823,모던하우스 스테인리스 물병 2P 세트,,크림 2개 1.5L,1,0,,,정유진,정유진,0502-1682-7454,0502-1682-7454,14814,경기도 용인시 기흥구 흥덕1로 53 110동 1184호,경비실,,,,,,,,,,,962068627611,,
2026-09-06 22:05,2026-09-06 11:05,3630642518276 915327747230671,쿠팡(신),samplestore,15900,0,,8347185480,아기물티슈 캡형 100매,,10팩,2,0,,,전하준,안하준,0502-1717-9404,0502-1717-9404,29581,인천광역시 연수구 송도과학로 268 110동 133호,경비실,,,,,,,,,,,130430237183,,
